"realtime_start","realtime_end","date","value"
"2025-02-17","2025-02-17","1980-01-01","0.879"
"2025-02-17","2025-02-17","1980-02-01","0.774"
"2025-02-17","2025-02-17","1980-03-01","0.812"
"2025-02-17","2025-02-17","1980-04-01","0.797"
"2025-02-17","2025-02-17","1980-05-01","0.737"
"2025-02-17","2025-02-17","1980-06-01","0.731"
"2025-02-17","2025-02-17","1980-07-01","0.776"
"2025-02-17","2025-02-17","1980-08-01","0.907"
"2025-02-17","2025-02-17","1980-09-01","0.898"
"2025-02-17","2025-02-17","1980-10-01","0.867"
"2025-02-17","2025-02-17","1980-11-01","0.917"
"2025-02-17","2025-02-17","1980-12-01","1.031"
"2025-02-17","2025-02-17","1981-01-01","0.943"
"2025-02-17","2025-02-17","1981-02-01","0.924"
"2025-02-17","2025-02-17","1981-03-01","0.875"
"2025-02-17","2025-02-17","1981-04-01","0.904"
"2025-02-17","2025-02-17","1981-05-01","0.836"
"2025-02-17","2025-02-17","1981-06-01","0.852"
"2025-02-17","2025-02-17","1981-07-01","0.860"
"2025-02-17","2025-02-17","1981-08-01","0.868"
"2025-02-17","2025-02-17","1981-09-01","0.915"
"2025-02-17","2025-02-17","1981-10-01","0.898"
"2025-02-17","2025-02-17","1981-11-01","0.943"
"2025-02-17","2025-02-17","1981-12-01","0.966"
"2025-02-17","2025-02-17","1982-01-01","0.925"
"2025-02-17","2025-02-17","1982-02-01","1.007"
"2025-02-17","2025-02-17","1982-03-01","0.952"
"2025-02-17","2025-02-17","1982-04-01","0.896"
"2025-02-17","2025-02-17","1982-05-01","0.842"
"2025-02-17","2025-02-17","1982-06-01","0.783"
"2025-02-17","2025-02-17","1982-07-01","0.851"
"2025-02-17","2025-02-17","1982-08-01","0.778"
"2025-02-17","2025-02-17","1982-09-01","0.852"
"2025-02-17","2025-02-17","1982-10-01","0.854"
"2025-02-17","2025-02-17","1982-11-01","0.849"
"2025-02-17","2025-02-17","1982-12-01","0.813"
"2025-02-17","2025-02-17","1983-01-01","0.821"
"2025-02-17","2025-02-17","1983-02-01","0.794"
"2025-02-17","2025-02-17","1983-03-01","0.836"
"2025-02-17","2025-02-17","1983-04-01","0.825"
"2025-02-17","2025-02-17","1983-05-01","0.865"
"2025-02-17","2025-02-17","1983-06-01","0.825"
"2025-02-17","2025-02-17","1983-07-01","0.847"
"2025-02-17","2025-02-17","1983-08-01","0.884"
"2025-02-17","2025-02-17","1983-09-01","0.938"
"2025-02-17","2025-02-17","1983-10-01","0.962"
"2025-02-17","2025-02-17","1983-11-01","0.996"
"2025-02-17","2025-02-17","1983-12-01","1.131"
"2025-02-17","2025-02-17","1984-01-01","1.301"
"2025-02-17","2025-02-17","1984-02-01","1.324"
"2025-02-17","2025-02-17","1984-03-01","1.153"
"2025-02-17","2025-02-17","1984-04-01","1.199"
"2025-02-17","2025-02-17","1984-05-01","1.054"
"2025-02-17","2025-02-17","1984-06-01","0.903"
"2025-02-17","2025-02-17","1984-07-01","0.876"
"2025-02-17","2025-02-17","1984-08-01","0.860"
"2025-02-17","2025-02-17","1984-09-01","0.854"
"2025-02-17","2025-02-17","1984-10-01","0.842"
"2025-02-17","2025-02-17","1984-11-01","0.823"
"2025-02-17","2025-02-17","1984-12-01","0.867"
"2025-02-17","2025-02-17","1985-01-01","0.746"
"2025-02-17","2025-02-17","1985-02-01","0.784"
"2025-02-17","2025-02-17","1985-03-01","0.790"
"2025-02-17","2025-02-17","1985-04-01","0.783"
"2025-02-17","2025-02-17","1985-05-01","0.745"
"2025-02-17","2025-02-17","1985-06-01","0.724"
"2025-02-17","2025-02-17","1985-07-01","0.787"
"2025-02-17","2025-02-17","1985-08-01","0.789"
"2025-02-17","2025-02-17","1985-09-01","0.857"
"2025-02-17","2025-02-17","1985-10-01","0.860"
"2025-02-17","2025-02-17","1985-11-01","0.872"
"2025-02-17","2025-02-17","1985-12-01","0.906"
"2025-02-17","2025-02-17","1986-01-01","0.901"
"2025-02-17","2025-02-17","1986-02-01","0.866"
"2025-02-17","2025-02-17","1986-03-01","0.887"
"2025-02-17","2025-02-17","1986-04-01","0.890"
"2025-02-17","2025-02-17","1986-05-01","0.820"
"2025-02-17","2025-02-17","1986-06-01","0.795"
"2025-02-17","2025-02-17","1986-07-01","0.833"
"2025-02-17","2025-02-17","1986-08-01","0.913"
"2025-02-17","2025-02-17","1986-09-01","0.868"
"2025-02-17","2025-02-17","1986-10-01","0.855"
"2025-02-17","2025-02-17","1986-11-01","0.897"
"2025-02-17","2025-02-17","1986-12-01","0.910"
"2025-02-17","2025-02-17","1987-01-01","0.862"
"2025-02-17","2025-02-17","1987-02-01","0.823"
"2025-02-17","2025-02-17","1987-03-01","0.800"
"2025-02-17","2025-02-17","1987-04-01","0.786"
"2025-02-17","2025-02-17","1987-05-01","0.763"
"2025-02-17","2025-02-17","1987-06-01","0.711"
"2025-02-17","2025-02-17","1987-07-01","0.763"
"2025-02-17","2025-02-17","1987-08-01","0.730"
"2025-02-17","2025-02-17","1987-09-01","0.837"
"2025-02-17","2025-02-17","1987-10-01","0.778"
"2025-02-17","2025-02-17","1987-11-01","0.805"
"2025-02-17","2025-02-17","1987-12-01","0.733"
"2025-02-17","2025-02-17","1988-01-01","0.760"
"2025-02-17","2025-02-17","1988-02-01","0.718"
"2025-02-17","2025-02-17","1988-03-01","0.740"
"2025-02-17","2025-02-17","1988-04-01","0.719"
"2025-02-17","2025-02-17","1988-05-01","0.678"
"2025-02-17","2025-02-17","1988-06-01","0.705"
"2025-02-17","2025-02-17","1988-07-01","0.803"
"2025-02-17","2025-02-17","1988-08-01","0.909"
"2025-02-17","2025-02-17","1988-09-01","0.874"
"2025-02-17","2025-02-17","1988-10-01","0.896"
"2025-02-17","2025-02-17","1988-11-01","0.839"
"2025-02-17","2025-02-17","1988-12-01","0.833"
"2025-02-17","2025-02-17","1989-01-01","0.941"
"2025-02-17","2025-02-17","1989-02-01","0.890"
"2025-02-17","2025-02-17","1989-03-01","1.031"
"2025-02-17","2025-02-17","1989-04-01","0.997"
"2025-02-17","2025-02-17","1989-05-01","0.956"
"2025-02-17","2025-02-17","1989-06-01","0.937"
"2025-02-17","2025-02-17","1989-07-01","0.961"
"2025-02-17","2025-02-17","1989-08-01","0.983"
"2025-02-17","2025-02-17","1989-09-01","1.038"
"2025-02-17","2025-02-17","1989-10-01","1.023"
"2025-02-17","2025-02-17","1989-11-01","1.080"
"2025-02-17","2025-02-17","1989-12-01","1.137"
"2025-02-17","2025-02-17","1990-01-01","1.223"
"2025-02-17","2025-02-17","1990-02-01","1.041"
"2025-02-17","2025-02-17","1990-03-01","1.111"
"2025-02-17","2025-02-17","1990-04-01","1.092"
"2025-02-17","2025-02-17","1990-05-01","0.940"
"2025-02-17","2025-02-17","1990-06-01","0.930"
"2025-02-17","2025-02-17","1990-07-01","0.899"
"2025-02-17","2025-02-17","1990-08-01","0.954"
"2025-02-17","2025-02-17","1990-09-01","0.946"
"2025-02-17","2025-02-17","1990-10-01","1.012"
"2025-02-17","2025-02-17","1990-11-01","1.018"
"2025-02-17","2025-02-17","1990-12-01","1.001"
"2025-02-17","2025-02-17","1991-01-01","1.106"
"2025-02-17","2025-02-17","1991-02-01","0.987"
"2025-02-17","2025-02-17","1991-03-01","1.069"
"2025-02-17","2025-02-17","1991-04-01","1.002"
"2025-02-17","2025-02-17","1991-05-01","0.908"
"2025-02-17","2025-02-17","1991-06-01","0.884"
"2025-02-17","2025-02-17","1991-07-01","0.966"
"2025-02-17","2025-02-17","1991-08-01","1.024"
"2025-02-17","2025-02-17","1991-09-01","0.987"
"2025-02-17","2025-02-17","1991-10-01","0.976"
"2025-02-17","2025-02-17","1991-11-01","0.950"
"2025-02-17","2025-02-17","1991-12-01","1.012"
"2025-02-17","2025-02-17","1992-01-01","0.933"
"2025-02-17","2025-02-17","1992-02-01","0.881"
"2025-02-17","2025-02-17","1992-03-01","0.850"
"2025-02-17","2025-02-17","1992-04-01","0.829"
"2025-02-17","2025-02-17","1992-05-01","0.836"
"2025-02-17","2025-02-17","1992-06-01","0.801"
"2025-02-17","2025-02-17","1992-07-01","0.827"
"2025-02-17","2025-02-17","1992-08-01","0.809"
"2025-02-17","2025-02-17","1992-09-01","0.873"
"2025-02-17","2025-02-17","1992-10-01","0.858"
"2025-02-17","2025-02-17","1992-11-01","0.897"
"2025-02-17","2025-02-17","1992-12-01","0.928"
"2025-02-17","2025-02-17","1993-01-01","0.898"
"2025-02-17","2025-02-17","1993-02-01","0.895"
"2025-02-17","2025-02-17","1993-03-01","0.927"
"2025-02-17","2025-02-17","1993-04-01","0.997"
"2025-02-17","2025-02-17","1993-05-01","0.895"
"2025-02-17","2025-02-17","1993-06-01","0.921"
"2025-02-17","2025-02-17","1993-07-01","0.900"
"2025-02-17","2025-02-17","1993-08-01","0.929"
"2025-02-17","2025-02-17","1993-09-01","0.890"
"2025-02-17","2025-02-17","1993-10-01","0.897"
"2025-02-17","2025-02-17","1993-11-01","0.917"
"2025-02-17","2025-02-17","1993-12-01","0.871"
"2025-02-17","2025-02-17","1994-01-01","0.917"
"2025-02-17","2025-02-17","1994-02-01","0.903"
"2025-02-17","2025-02-17","1994-03-01","0.926"
"2025-02-17","2025-02-17","1994-04-01","0.861"
"2025-02-17","2025-02-17","1994-05-01","0.801"
"2025-02-17","2025-02-17","1994-06-01","0.841"
"2025-02-17","2025-02-17","1994-07-01","0.815"
"2025-02-17","2025-02-17","1994-08-01","0.895"
"2025-02-17","2025-02-17","1994-09-01","0.855"
"2025-02-17","2025-02-17","1994-10-01","0.810"
"2025-02-17","2025-02-17","1994-11-01","0.857"
"2025-02-17","2025-02-17","1994-12-01","0.873"
"2025-02-17","2025-02-17","1995-01-01","0.882"
"2025-02-17","2025-02-17","1995-02-01","0.863"
"2025-02-17","2025-02-17","1995-03-01","0.875"
"2025-02-17","2025-02-17","1995-04-01","0.833"
"2025-02-17","2025-02-17","1995-05-01","0.819"
"2025-02-17","2025-02-17","1995-06-01","0.825"
"2025-02-17","2025-02-17","1995-07-01","0.879"
"2025-02-17","2025-02-17","1995-08-01","0.984"
"2025-02-17","2025-02-17","1995-09-01","0.956"
"2025-02-17","2025-02-17","1995-10-01","0.981"
"2025-02-17","2025-02-17","1995-11-01","1.037"
"2025-02-17","2025-02-17","1995-12-01","1.160"
"2025-02-17","2025-02-17","1996-01-01","1.155"
"2025-02-17","2025-02-17","1996-02-01","1.091"
"2025-02-17","2025-02-17","1996-03-01","1.138"
"2025-02-17","2025-02-17","1996-04-01","1.086"
"2025-02-17","2025-02-17","1996-05-01","1.021"
"2025-02-17","2025-02-17","1996-06-01","0.945"
"2025-02-17","2025-02-17","1996-07-01","1.042"
"2025-02-17","2025-02-17","1996-08-01","1.072"
"2025-02-17","2025-02-17","1996-09-01","1.150"
"2025-02-17","2025-02-17","1996-10-01","1.129"
"2025-02-17","2025-02-17","1996-11-01","1.139"
"2025-02-17","2025-02-17","1996-12-01","1.308"
"2025-02-17","2025-02-17","1997-01-01","1.148"
"2025-02-17","2025-02-17","1997-02-01","1.132"
"2025-02-17","2025-02-17","1997-03-01","1.056"
"2025-02-17","2025-02-17","1997-04-01","1.081"
"2025-02-17","2025-02-17","1997-05-01","1.002"
"2025-02-17","2025-02-17","1997-06-01","0.952"
"2025-02-17","2025-02-17","1997-07-01","0.979"
"2025-02-17","2025-02-17","1997-08-01","1.061"
"2025-02-17","2025-02-17","1997-09-01","1.009"
"2025-02-17","2025-02-17","1997-10-01","1.018"
"2025-02-17","2025-02-17","1997-11-01","1.090"
"2025-02-17","2025-02-17","1997-12-01","1.172"
"2025-02-17","2025-02-17","1998-01-01","1.120"
"2025-02-17","2025-02-17","1998-02-01","1.073"
"2025-02-17","2025-02-17","1998-03-01","1.043"
"2025-02-17","2025-02-17","1998-04-01","1.061"
"2025-02-17","2025-02-17","1998-05-01","0.960"
"2025-02-17","2025-02-17","1998-06-01","0.932"
"2025-02-17","2025-02-17","1998-07-01","0.971"
"2025-02-17","2025-02-17","1998-08-01","1.053"
"2025-02-17","2025-02-17","1998-09-01","1.022"
"2025-02-17","2025-02-17","1998-10-01","1.048"
"2025-02-17","2025-02-17","1998-11-01","1.077"
"2025-02-17","2025-02-17","1998-12-01","1.089"
"2025-02-17","2025-02-17","1999-01-01","1.053"
"2025-02-17","2025-02-17","1999-02-01","1.078"
"2025-02-17","2025-02-17","1999-03-01","1.005"
"2025-02-17","2025-02-17","1999-04-01","0.942"
"2025-02-17","2025-02-17","1999-05-01","0.900"
"2025-02-17","2025-02-17","1999-06-01","0.949"
"2025-02-17","2025-02-17","1999-07-01","0.880"
"2025-02-17","2025-02-17","1999-08-01","1.020"
"2025-02-17","2025-02-17","1999-09-01","0.956"
"2025-02-17","2025-02-17","1999-10-01","0.888"
"2025-02-17","2025-02-17","1999-11-01","0.920"
"2025-02-17","2025-02-17","1999-12-01","0.920"
"2025-02-17","2025-02-17","2000-01-01","0.975"
"2025-02-17","2025-02-17","2000-02-01","0.962"
"2025-02-17","2025-02-17","2000-03-01","0.931"
"2025-02-17","2025-02-17","2000-04-01","0.939"
"2025-02-17","2025-02-17","2000-05-01","0.852"
"2025-02-17","2025-02-17","2000-06-01","0.838"
"2025-02-17","2025-02-17","2000-07-01","0.868"
"2025-02-17","2025-02-17","2000-08-01","0.893"
"2025-02-17","2025-02-17","2000-09-01","0.920"
"2025-02-17","2025-02-17","2000-10-01","0.923"
"2025-02-17","2025-02-17","2000-11-01","0.902"
"2025-02-17","2025-02-17","2000-12-01","0.959"
"2025-02-17","2025-02-17","2001-01-01","1.011"
"2025-02-17","2025-02-17","2001-02-01","0.943"
"2025-02-17","2025-02-17","2001-03-01","0.886"
"2025-02-17","2025-02-17","2001-04-01","1.028"
"2025-02-17","2025-02-17","2001-05-01","0.881"
"2025-02-17","2025-02-17","2001-06-01","0.920"
"2025-02-17","2025-02-17","2001-07-01","0.862"
"2025-02-17","2025-02-17","2001-08-01","0.929"
"2025-02-17","2025-02-17","2001-09-01","0.916"
"2025-02-17","2025-02-17","2001-10-01","0.916"
"2025-02-17","2025-02-17","2001-11-01","0.935"
"2025-02-17","2025-02-17","2001-12-01","0.925"
"2025-02-17","2025-02-17","2002-01-01","0.973"
"2025-02-17","2025-02-17","2002-02-01","0.996"
"2025-02-17","2025-02-17","2002-03-01","1.003"
"2025-02-17","2025-02-17","2002-04-01","1.047"
"2025-02-17","2025-02-17","2002-05-01","0.997"
"2025-02-17","2025-02-17","2002-06-01","0.975"
